"TIME","GEO","UNIT","ICHA11_HC","ICHA11_HF","Value","Flag and Footnotes"
"2008","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","European Union - 27 countries (from 2020)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","European Union - 28 countries (2013-2020)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","European Union - 27 countries (2007-2013)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
"2008","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","All financing schemes",":",""
"2008","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Government schemes and compulsory contributory health care financing schemes",":",""
"2008","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Government schemes",":",""
"2008","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Compulsory contributory health insurance schemes and compulsory medical saving accounts (CMSA)",":",""
"2008","European Union - 15 countries (1995-2004)","Million euro","Current health care expenditure (CHE)","Voluntary health care payment schemes",":",""
